SGB	used_nGD_score_percentile
t__SGB4581	0.05
t__SGB4571	0.05
t__SGB4987	0.05
t__SGB4988	0.05
t__SGB4758_group	0.05
t__SGB4760	0.05
t__SGB4871_group	0.05
t__SGB4583	0.05
t__SGB4573_group	0.05
t__SGB4630_group	0.05
t__SGB4966	0.05
t__SGB4648	0.05
t__SGB4706	0.05
t__SGB4767	0.05
t__SGB4771	0.05
t__SGB4780	0.05
t__SGB4781	0.05
t__SGB4782	0.05
t__SGB4808	0.05
t__SGB4832	0.05
t__SGB4953	0.05
t__SGB4957	0.05
t__SGB5060	0.05
t__SGB4882	0.05
t__SGB4924_group	0.05
t__SGB4584	0.05
t__SGB4557	0.05
t__SGB4608	0.05
t__SGB4654	0.05
t__SGB4617	0.05
t__SGB4588_group	0.05
t__SGB15078	0.05
t__SGB6141	0.05
t__SGB6140	0.05
t__SGB6148	0.05
t__SGB14965	0.05
t__SGB15317	0.05
t__SGB15132	0.05
t__SGB14909	0.05
t__SGB15049	0.05
t__SGB15053_group	0.05
t__SGB15081	0.05
t__SGB15087	0.05
t__SGB15089	0.05
t__SGB15090	0.05
t__SGB15107	0.05
t__SGB15204	0.05
t__SGB15224	0.05
t__SGB15225	0.05
t__SGB15291	0.05
t__SGB15295_group	0.05
t__SGB15299	0.05
t__SGB14912	0.05
t__SGB4280	0.05
t__SGB14853	0.05
t__SGB4198_group	0.05
t__SGB14899	0.05
t__SGB15249	0.05
t__SGB15272	0.05
t__SGB4181	0.05
t__SGB4184	0.05
t__SGB4247	0.05
t__SGB15233	0.05
t__SGB15236	0.05
t__SGB15309	0.05
t__SGB4421	0.05
t__SGB15271	0.05
t__SGB4037_group	0.05
t__SGB6749	0.05
t__SGB6750	0.05
t__SGB4045	0.05
t__SGB4041	0.05
t__SGB6767	0.05
t__SGB5736	0.05
t__SGB5792	0.05
t__SGB5843	0.05
t__SGB6952	0.05
t__SGB9340	0.05
t__SGB9342_group	0.05
t__SGB9272_group	0.05
t__SGB9260	0.05
t__SGB9262	0.05
t__SGB9283	0.05
t__SGB15452	0.05
t__SGB15470	0.05
t__SGB10068	0.05
t__SGB10115	0.05
t__SGB9712_group	0.05
t__SGB9228	0.05
t__SGB2311	0.05
t__SGB1957	0.05
t__SGB6376	0.05
t__SGB14313	0.05
t__SGB5118	0.05
t__SGB9333	0.05
t__SGB9286	0.05
t__SGB15467_group	0.05
t__SGB14857	0.05
t__SGB2317	0.05
t__SGB6468	0.05
t__SGB5684	0.05
t__SGB6320	0.05
t__SGB6411	0.05
t__SGB4449	0.05
t__SGB714_group	0.01368286745
t__SGB17244	0.005420115844
t__SGB17256	0.02040729516
t__SGB17241	0.02832408017
t__SGB17248	0.03413473043
t__SGB14546_group	0.00694925967
t__SGB14741	0.005131964809
t__SGB14322_group	0.001598917656
t__SGB14341	0.01560100899
t__SGB14809	0.01683477576
t__SGB14773_group	0.02437857238
t__SGB1832	0.02986650109
t__SGB1855_group	0.02464474282
t__SGB1836_group	0.03009493871
t__SGB1903_group	0.01330049261
t__SGB1965	0.04769545398
t__SGB1699	0.002109912646
t__SGB1798	0.04908532808
t__SGB1626	0.01066996486
t__SGB1644	0.002855394656
t__SGB2318	0.04424782016
t__SGB6503	0.01688888889
t__SGB6473	0.01495210653
t__SGB6478	0.005399151562
t__SGB6540	0.03050268424
t__SGB6465	0.006213450292
t__SGB8071	0.03607692237
t__SGB47358	0.02422145329
t__SGB4303	0.02642411481
t__SGB15350	0.04447432641
t__SGB14311	0.02303090728
t__SGB14861	0.03500503874
t__SGB15374	0.04486461785
t__SGB3957	0.01754047803
t__SGB6308	0.02804467439
t__SGB4367	0.009412629318
t__SGB6276	0.03452659363
t__SGB4348	0.02031680441
t__SGB6340	0.01420757092
t__SGB6362	0.04341034284
t__SGB14306	0.009764828304
t__SGB15368	0.001053593926
t__SGB4768	0.04809810234
t__SGB4269	0.04612591505
t__SGB5111	0.01027682434
t__SGB4712	0.03906760584
t__SGB4914	0.01943692053
t__SGB4644	0.01697029909
t__SGB5090_group	0.01991911918
t__SGB4959	0.01765931569
t__SGB5045	0.01477275386
t__SGB4532	0.02123988497
t__SGB4540_group	0.009539488419
t__SGB5190	0.01308140384
t__SGB4862	0.03465402736
t__SGB4820	0.03483285308
t__SGB4826_group	0.01228029911
t__SGB4811_group	0.03395636502
t__SGB4779	0.01731359955
t__SGB4837_group	0.02715547927
t__SGB5065	0.004169650002
t__SGB5117	0.004001821188
t__SGB5121	0.00441906762
t__SGB4575	0.04943870972
t__SGB4582_group	0.0133386317
t__SGB4552_group	0.04176837167
t__SGB4874	0.01352845248
t__SGB4886	0.01698124371
t__SGB4930	0.03114979386
t__SGB5066	0.007618322065
t__SGB5089	0.008769322235
t__SGB4933_group	0.005448507956
t__SGB4910	0.02082854277
t__SGB4669	0.04064181399
t__SGB4750	0.04467265725
t__SGB4964	0.04576332085
t__SGB5062	0.03970328935
t__SGB4894	0.007864198715
t__SGB5077	0.01995167085
t__SGB5082_group	0.01181824818
t__SGB5075_group	0.006043680404
t__SGB5087	0.02111313243
t__SGB4716	0.03377492645
t__SGB4868	0.03553099471
t__SGB4563_group	0.01418057211
t__SGB4925	0.004018094517
t__SGB4936	0.03152282894
t__SGB4951	0.01037114333
t__SGB4940	0.01879276439
t__SGB4938	0.0006757082871
t__SGB15254	0.02184554417
t__SGB6139	0.02420520231
t__SGB14993_group	0.04558616068
t__SGB15286	0.0414641456
t__SGB15346	0.01624760177
t__SGB15316_group	0.04150273201
t__SGB15318_group	0.02213080191
t__SGB15322	0.03546535465
t__SGB15323	0.01307170081
t__SGB15332_group	0.03297205728
t__SGB15342	0.03809341831
t__SGB15031	0.01973574064
t__SGB15051	0.0421666385
t__SGB15091	0.03951510731
t__SGB15093	0.02331064487
t__SGB15103	0.02419726532
t__SGB15106	0.0197408197
t__SGB15121	0.02701976794
t__SGB15180	0.03578157974
t__SGB15198	0.03644087798
t__SGB15216	0.008196385767
t__SGB15229	0.03492502393
t__SGB15244	0.01891749138
t__SGB15300	0.01409691182
t__SGB14906	0.02222222222
t__SGB15356	0.03725449598
t__SGB15234	0.0431557683
t__SGB15260	0.01488893387
t__SGB15265_group	0.03618458173
t__SGB4191	0.006277168131
t__SGB4425_group	0.04286132669
t__SGB4262	0.006480249254
t__SGB4285_group	0.007423610987
t__SGB4422	0.03443162923
t__SGB4290	0.02863056226
t__SGB6783_group	0.02369569254
t__SGB6747	0.01254850161
t__SGB6744	0.01586782267
t__SGB6754	0.04316240571
t__SGB6790	0.001365653807
t__SGB6806_group	0.002784048157
t__SGB4993	0.01858735585
t__SGB5785	0.002019658005
t__SGB5803	0.04369830213
t__SGB5825_group	0.03332397336
t__SGB6936	0.01694045175
t__SGB6939	0.01308399829
t__SGB9346	0.01956649819
t__SGB9347	0.03869111317
t__SGB72433_group	0.002819206984
t__SGB9226	0.03543286219
t__SGB2071	0.001081322943
t__SGB1891_group	0.02031517471
t__SGB1888	0.0178625492
t__SGB1680	0
t__SGB1613	0.001550314761
t__SGB1617_group	0.01461283519
t__SGB2230	0.006419858763
t__SGB8601	0.01397349511
t__SGB4365	0.02102829462
t__SGB6302	0.004823151125
t__SGB15119	0.00892786129
t__SGB5765_group	0.03915216458
t__SGB5809_group	0.01320633904
t__SGB5858	0.001390820584
t__SGB9273	0.04265208476
t__SGB5818	0.01940657578
t__SGB2304	0.0006963788301
t__SGB6388	0.01792114695
