taxonomy_old	taxonomy_new	taxonomy_id_new
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4596|s__GGB4596_SGB6358|t__SGB6358	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4596|s__GGB4596_SGB6358|t__SGB6358	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925|f__FGB75925|g__GGB31439|s__GGB31439_SGB44769|t__SGB44769	k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB31439|s__GGB31439_SGB44769|t__SGB44769	2|1239||||||
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_SGB15407|t__SGB15407	k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9784|s__GGB9784_SGB15407|t__SGB15407	2|1239||||||
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76772|o__OFGB76772|f__FGB76772|g__GGB27394|s__GGB27394_SGB39665|t__SGB39665	k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB32152|o__OFGB32152|f__FGB32152|g__GGB27394|s__GGB27394_SGB39665|t__SGB39665	2157|2283796||||||
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4677|s__GGB4677_SGB6466|t__SGB6466	k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776|g__GGB4677|s__GGB4677_SGB6466|t__SGB6466	2|1239||||||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB78174|s__GGB78174_SGB107691|t__SGB107691	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB78165|s__GGB78165_SGB107691|t__SGB107691	2|201174|1760|85011|2062|||
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB70855|s__GGB70855_SGB95308|t__SGB95308	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70855|s__GGB70855_SGB95308|t__SGB95308	2|976|200643|171549|2005473|||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9078|s__GGB9078_SGB14001|t__SGB14001	k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837|f__FGB2837|g__GGB9078|s__GGB9078_SGB14001|t__SGB14001	2|1239||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB7083|t__SGB7083	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB5056|s__GGB5056_SGB7083|t__SGB7083	2|1239|91061|186826|33958|||
k__Bacteria|p__Bacteroidetes|c__CFGB76557|o__OFGB76557|f__FGB76557|g__GGB79782|s__GGB79782_SGB92051|t__SGB92051	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa|s__Formosa_SGB92051|t__SGB92051	2|976|117743|200644|49546|225842||
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27924|s__GGB27924_SGB40362|t__SGB40362	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27924|s__GGB27924_SGB40362|t__SGB40362	2|976|200643|171549|2005473|||
k__Bacteria|p__Proteobacteria|c__CFGB4875|o__OFGB4875|f__FGB4875|g__GGB2731|s__GGB2731_SGB3673|t__SGB3673	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__GGB2731|s__GGB2731_SGB3673|t__SGB3673	2|1224|1236|135624|83763|||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9603|s__GGB9603_SGB15035|t__SGB15035	k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035|g__GGB9603|s__GGB9603_SGB15035|t__SGB15035	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__GGB28248|s__GGB28248_SGB40791|t__SGB40791	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB28248|s__GGB28248_SGB40791|t__SGB40791	2|976|200643|171549|1853231|||
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948|s__GGB79948_SGB41679|t__SGB41679	k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28968|s__GGB28968_SGB41679|t__SGB41679	2|||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9593|s__GGB9593_SGB15015|t__SGB15015	k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035|g__GGB9593|s__GGB9593_SGB15015|t__SGB15015	2|1239||||||
k__Bacteria|p__Proteobacteria|c__CFGB55064|o__OFGB55064|f__FGB55064|g__GGB58365|s__GGB58365_SGB80016|t__SGB80016	k__Bacteria|p__Proteobacteria|c__CFGB56928|o__OFGB56928|f__FGB56928|g__GGB58365|s__GGB58365_SGB80016|t__SGB80016	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB74416|s__GGB74416_SGB37297|t__SGB37297	k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB74416|s__GGB74416_SGB37297|t__SGB37297	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Dakarella|s__Dakarella_SGB14198|t__SGB14198	k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930|f__FGB2930|g__GGB9253|s__GGB9253_SGB14198|t__SGB14198	2|1239||||||
k__Bacteria|p__Bacteria_unclassified|c__CFGB76452|o__OFGB76452|f__FGB76452|g__GGB42785|s__GGB42785_SGB59992|t__SGB59992	k__Bacteria|p__Bacteria_unclassified|c__CFGB40404|o__OFGB40404|f__FGB40404|g__GGB42785|s__GGB42785_SGB59992|t__SGB59992	2|||||||
k__Bacteria|p__Firmicutes|c__CFGB9298|o__OFGB9298|f__FGB9298|g__GGB27377|s__GGB27377_SGB13972|t__SGB13972	k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833|f__FGB2833|g__GGB74665|s__GGB74665_SGB13972|t__SGB13972	2|1239||||||
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404|f__FGB76404|g__GGB75905|s__GGB75905_SGB102356|t__SGB102356	k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB75905|s__GGB75905_SGB102356|t__SGB102356	2|1224||||||
k__Bacteria|p__Firmicutes|c__CFGB76294|o__OFGB76294|f__FGB76294|g__GGB28876|s__GGB28876_SGB41556|t__SGB41556	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28876|s__GGB28876_SGB41556|t__SGB41556	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79453|s__GGB79453_SGB105310|t__SGB105310	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB78675|s__GGB78675_SGB105310|t__SGB105310	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_SGB93870|t__SGB93870	k__Bacteria|p__Proteobacteria|c__CFGB75359|o__OFGB75359|f__FGB75359|g__GGB69657|s__GGB69657_SGB93870|t__SGB93870	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB74370|s__GGB74370_SGB15017|t__SGB15017	k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035|g__GGB74370|s__GGB74370_SGB15017|t__SGB15017	2|1239||||||
